Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales (in millions),EU_Sales (in millions),JP_Sales (in millions),Other_Sales (in millions),Global_Sales (in millions),Critic_Score,User_Score,Developer,Rating
F.E.A.R. 2: Project Origin,PS3,1970,Shooter,Warner Bros. Interactive Entertainment,0.19,0.2,0.01,0.08,0.47,79.0,79.0,Monolith Productions,M
F.E.A.R. 2: Project Origin,PC,1970,Shooter,Warner Bros. Interactive Entertainment,0.02,0.05,0.0,0.01,0.07,79.0,78.0,Monolith Productions,M
F.E.A.R. 3,PS3,1970,Shooter,Warner Bros. Interactive Entertainment,0.21,0.16,0.01,0.07,0.45,74.0,71.0,Day 1 Studios,M
F.E.A.R. 3,X360,1970,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04,0.45,75.0,70.0,Day 1 Studios,M
F.E.A.R. 3,PC,1970,Shooter,Warner Bros. Interactive Entertainment,0.04,0.08,0.0,0.03,0.15,74.0,59.0,Day 1 Studios,M
F.E.A.R. Files,X360,1970,Shooter,Vivendi Games,0.07,0.01,0.0,0.01,0.09,66.0,71.0,"TimeGate Studios, Day 1 Studios",M
F.E.A.R. Perseus Mandate,PC,1970,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.01,61.0,73.0,TimeGate Studios,M
F1 2001,PS2,1970,Racing,Electronic Arts,0.07,0.06,0.0,0.02,0.15,83.0,83.0,EA Sports,E
F1 2001,XB,1970,Racing,Electronic Arts,0.05,0.01,0.0,0.0,0.06,83.0,55.0,EA Sports,E
F1 2002,PS2,1970,Racing,Electronic Arts,0.05,0.04,0.02,0.01,0.12,81.0,64.0,Visual Sciences,E
F1 2002,GC,1970,Racing,Electronic Arts,0.02,0.01,0.0,0.0,0.03,72.0,78.0,EA Sports,E
F1 2009,Wii,1970,Racing,Codemasters,0.15,0.62,0.0,0.11,0.87,69.0,72.0,Sumo Digital,E
F1 2009,PSP,1970,Racing,Codemasters,0.08,0.29,0.0,0.16,0.52,68.0,72.0,Sumo Digital,E
F1 2010,PS3,1970,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,84.0,78.0,Codemasters Birmingham,E
F1 2010,X360,1970,Racing,Codemasters,0.18,0.59,0.01,0.1,0.88,84.0,75.0,Codemasters Birmingham,E
F1 2010,PC,1970,Racing,Codemasters,0.0,0.05,0.0,0.01,0.05,84.0,66.0,Codemasters Birmingham,E
F1 2011,PS3,1970,Racing,Codemasters,0.12,0.74,0.11,0.24,1.2,82.0,71.0,Codemasters,E
F1 2011,X360,1970,Racing,Codemasters,0.11,0.5,0.01,0.09,0.72,84.0,71.0,Codemasters,E
F1 2011,PC,1970,Racing,Codemasters,0.0,0.15,0.0,0.04,0.19,83.0,72.0,Codemasters,E
F1 2011,3DS,1970,Racing,Codemasters,0.07,0.08,0.0,0.02,0.16,59.0,68.0,Codemasters,E
F1 2011,PSV,1970,Racing,Codemasters,0.03,0.07,0.01,0.02,0.13,66.0,62.0,Codemasters,E
F1 2012,PS3,1970,Racing,Codemasters,0.12,0.63,0.05,0.23,1.03,81.0,75.0,Codemasters,E
F1 2012,X360,1970,Racing,Codemasters,0.1,0.34,0.0,0.05,0.49,84.0,69.0,Codemasters,E
F1 2012,PC,1970,Racing,Codemasters,0.01,0.11,0.0,0.02,0.15,80.0,69.0,Codemasters,E
F1 2013,PS3,1970,Racing,Codemasters,0.01,0.42,0.03,0.09,0.54,77.0,63.0,Codemasters Birmingham,E
F1 2013,X360,1970,Racing,Codemasters,0.01,0.27,0.0,0.02,0.3,79.0,66.0,Codemasters,E
F1 2014,PS3,1970,Racing,Codemasters,0.07,0.26,0.02,0.06,0.41,62.0,41.0,Codemasters Birmingham,E
F1 2014,X360,1970,Racing,Codemasters,0.08,0.13,0.0,0.02,0.23,64.0,41.0,Codemasters Birmingham,E
F1 2014,PC,1970,Racing,Codemasters,0.0,0.09,0.0,0.01,0.1,61.0,48.0,Codemasters Birmingham,E
F1 2015,PS4,1970,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,63.0,Codemasters,E
F1 2015,XOne,1970,Racing,Codemasters,0.08,0.15,0.0,0.02,0.25,64.0,53.0,Codemasters,E
F1 2015,PC,1970,Racing,Codemasters,0.0,0.05,0.0,0.0,0.05,61.0,36.0,Codemasters,E
F1 Career Challenge,PS2,1970,Racing,Electronic Arts,0.05,0.04,0.0,0.01,0.1,70.0,77.0,Electronic Arts,E
F1 Race Stars,PS3,1970,Racing,Codemasters,0.06,0.19,0.0,0.06,0.32,61.0,56.0,Codemasters,E
F1 Race Stars,X360,1970,Racing,Codemasters,0.07,0.17,0.0,0.02,0.27,64.0,57.0,Codemasters,E
F1 Race Stars,PC,1970,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02,62.0,54.0,Codemasters,E
Fable,XB,1970,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66,85.0,85.0,Big Blue Box,M
Fable II,X360,1970,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.0,65.0,Lionhead Studios,M
Fable III,X360,1970,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,65.0,Lionhead Studios,M
Fable III,PC,1970,Role-Playing,Microsoft Game Studios,0.1,0.17,0.0,0.05,0.32,75.0,54.0,Lionhead Studios,M
Fable: The Journey,X360,1970,Role-Playing,Microsoft Game Studios,0.18,0.08,0.0,0.02,0.28,61.0,48.0,Lionhead Studios,T
Fable: The Lost Chapters,PC,1970,Role-Playing,Microsoft Game Studios,0.01,0.05,0.0,0.01,0.07,83.0,87.0,Lionhead Studios,M
FaceBreaker,X360,1970,Fighting,Electronic Arts,0.15,0.02,0.0,0.02,0.19,54.0,63.0,EA Canada,T
FaceBreaker,PS3,1970,Fighting,Electronic Arts,0.13,0.02,0.0,0.02,0.17,53.0,38.0,EA Canada,T
FaceBreaker K.O. Party,Wii,1970,Fighting,Electronic Arts,0.19,0.01,0.0,0.02,0.22,61.0,56.0,EA Canada,T
Fairy Fencer F,PS3,1970,Role-Playing,Nippon Ichi Software,0.05,0.03,0.09,0.02,0.19,65.0,74.0,Compile Heart,T
Fairy Fencer F: Advent Dark Force,PS4,1970,Role-Playing,Idea Factory International,0.02,0.0,0.05,0.0,0.07,71.0,62.0,Compile Heart,T
Fairytale Fights,X360,1970,Action,Playlogic Game Factory,0.14,0.02,0.0,0.01,0.17,51.0,62.0,"Playlogic, The Game Factory",M
Fairytale Fights,PS3,1970,Action,Playlogic Game Factory,0.11,0.03,0.0,0.02,0.17,53.0,60.0,"Playlogic, The Game Factory",M
Falcon 4.0: Allied Force,PC,1970,Simulation,Graphsim Entertainment,0.0,0.02,0.0,0.0,0.02,90.0,86.0,Lead Pursuit,T
Fallout 3,X360,1970,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,85.0,Bethesda Game Studios,M
Fallout 3,PS3,1970,Role-Playing,Bethesda Softworks,2.15,1.13,0.07,0.59,3.94,90.0,80.0,Bethesda Game Studios,M
Fallout 3,PC,1970,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.98,91.0,79.0,Bethesda Game Studios,M
Fallout 4,PS4,1970,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,65.0,Bethesda Game Studios,M
Fallout 4,XOne,1970,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,62.0,Bethesda Game Studios,M
Fallout 4,PC,1970,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,54.0,Bethesda Game Studios,M
Fallout: Brotherhood of Steel,PS2,1970,Role-Playing,Avalon Interactive,0.03,0.03,0.0,0.01,0.07,64.0,41.0,Interplay,M
Fallout: Brotherhood of Steel,XB,1970,Role-Playing,Avalon Interactive,0.04,0.01,0.0,0.0,0.05,66.0,55.0,Interplay,M
Fallout: New Vegas,X360,1970,Role-Playing,Bethesda Softworks,2.66,1.03,0.04,0.33,4.05,84.0,81.0,Obsidian Entertainment,M
Fallout: New Vegas,PS3,1970,Role-Playing,Bethesda Softworks,1.52,1.03,0.1,0.46,3.11,82.0,78.0,Obsidian Entertainment,M
Fallout: New Vegas,PC,1970,Role-Playing,Bethesda Softworks,0.59,0.45,0.0,0.14,1.17,84.0,86.0,Obsidian Entertainment,M
Family Feud: 2012 Edition,X360,1970,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1,47.0,53.0,Ubisoft,E10+
Family Guy,PSP,1970,Action,Take-Two Interactive,0.18,0.0,0.0,0.02,0.19,51.0,63.0,High Voltage Software,M
Family Guy: Back to the Multiverse,PS3,1970,Action,Activision,0.12,0.1,0.0,0.04,0.26,40.0,64.0,Heavy Iron Studios,M
Family Guy: Back to the Multiverse,X360,1970,Action,Activision,0.14,0.09,0.0,0.02,0.25,39.0,50.0,Heavy Iron Studios,M
Family Party: 30 Great Games,Wii,1970,Misc,D3Publisher,0.08,0.01,0.0,0.01,0.09,42.0,10.0,Tamsoft,E10+
Fantasia: Music Evolved,XOne,1970,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15,77.0,75.0,Harmonix Music Systems,E10+
Fantastic 4,PS2,1970,Action,Activision,0.41,0.01,0.0,0.07,0.5,64.0,78.0,7 Studios,T
Fantastic 4,XB,1970,Action,Activision,0.2,0.06,0.0,0.01,0.27,62.0,66.0,7 Studios,T
Fantastic 4,GC,1970,Action,Activision,0.19,0.05,0.0,0.01,0.24,61.0,40.0,7 Studios,T
Fantastic Four: Rise of the Silver Surfer,PS2,1970,Action,Take-Two Interactive,0.19,0.15,0.0,0.05,0.39,36.0,64.0,7 Studios,T
Fantastic Four: Rise of the Silver Surfer,PS3,1970,Action,Take-Two Interactive,0.12,0.02,0.0,0.02,0.15,47.0,62.0,Visual Concepts,T
Fantastic Four: Rise of the Silver Surfer,X360,1970,Action,Take-Two Interactive,0.1,0.01,0.0,0.01,0.11,45.0,54.0,Visual Concepts,T
Fantastic Four: Rise of the Silver Surfer,Wii,1970,Action,Take-Two Interactive,0.04,0.01,0.0,0.0,0.05,39.0,59.0,7 Studios,T
Fantastic Four: Rise of the Silver Surfer,DS,1970,Action,Take-Two Interactive,0.04,0.0,0.0,0.0,0.04,35.0,48.0,7 Studios,E10+
Fantastic Pets,X360,1970,Simulation,THQ,0.3,0.08,0.0,0.03,0.41,66.0,75.0,Blitz Games Studios,E
Fantasy Life,3DS,1970,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,73.0,86.0,"Level 5, Brownie Brown",E10+
Fantavision,PS2,1970,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47,72.0,63.0,SCEJ,E
Far Cry,PC,1970,Shooter,Ubisoft,0.0,0.04,0.0,0.01,0.05,89.0,81.0,Crytek,M
Far Cry 2,X360,1970,Action,Ubisoft,0.71,0.69,0.02,0.18,1.59,85.0,67.0,Ubisoft Montreal,M
Far Cry 2,PS3,1970,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,85.0,64.0,Ubisoft Montreal,M
Far Cry 2,PC,1970,Action,Ubisoft,0.01,0.45,0.0,0.03,0.48,85.0,58.0,Ubisoft Montreal,M
Far Cry 3,PS3,1970,Shooter,Ubisoft,0.88,1.7,0.1,0.67,3.35,90.0,85.0,Ubisoft Montreal,M
Far Cry 3,X360,1970,Shooter,Ubisoft,1.38,1.32,0.02,0.28,3.0,91.0,86.0,Ubisoft Montreal,M
Far Cry 3,PC,1970,Shooter,Ubisoft,0.22,0.62,0.0,0.12,0.96,88.0,82.0,Ubisoft Montreal,M
Far Cry 4,PS4,1970,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85.0,77.0,Ubisoft Montreal,M
Far Cry 4,XOne,1970,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63,82.0,75.0,Ubisoft Montreal,M
Far Cry 4,PC,1970,Shooter,Ubisoft,0.15,0.44,0.0,0.04,0.63,80.0,67.0,Ubisoft Montreal,M
Far Cry Instincts,XB,1970,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57,85.0,57.0,Ubisoft Montreal,M
Far Cry Instincts Evolution,XB,1970,Shooter,Ubisoft,0.06,0.02,0.0,0.0,0.08,78.0,63.0,Ubisoft Montreal,M
Far Cry Instincts Predator,X360,1970,Shooter,Ubisoft,0.2,0.03,0.0,0.02,0.24,78.0,62.0,Ubisoft Montreal,M
Far Cry Vengeance,Wii,1970,Shooter,Ubisoft,0.06,0.01,0.0,0.01,0.08,38.0,53.0,Ubisoft Montreal,M
Far Cry: Primal,PS4,1970,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76.0,63.0,Ubisoft Montreal,M
Far Cry: Primal,XOne,1970,Action,Ubisoft,0.47,0.33,0.0,0.08,0.88,77.0,64.0,Ubisoft Montreal,M
Far Cry: Primal,PC,1970,Action,Ubisoft,0.04,0.11,0.0,0.01,0.16,74.0,48.0,Ubisoft Montreal,M
Farming Simulator 17,PC,1970,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,80.0,Giants Software,E
Farming Simulator 17,PS4,1970,Simulation,Focus Home Interactive,0.05,0.31,0.0,0.06,0.41,69.0,87.0,Maximum Games,E
Farming Simulator 2013,PC,1970,Simulation,Focus Home Interactive,0.0,0.81,0.0,0.15,0.96,65.0,75.0,Giants Software,E
Farming Simulator 2013,X360,1970,Simulation,Focus Home Interactive,0.22,0.13,0.0,0.04,0.38,33.0,62.0,Giants Software,E
Farming Simulator 2013,PS3,1970,Simulation,Focus Home Interactive,0.0,0.09,0.02,0.02,0.14,40.0,29.0,Giants Software,E
Fast Racing Neo ,WiiU,1970,Action,Nintendo,0.0,0.01,0.0,0.0,0.01,81.0,85.0,Shin'en,E
Fat Princess: Fistful of Cake,PSP,1970,Action,Sony Computer Entertainment,0.08,0.02,0.0,0.02,0.12,74.0,87.0,SuperVillain Studios,T
Fatal Frame,PS2,1970,Action,Wanadoo,0.07,0.06,0.0,0.02,0.14,74.0,89.0,Tecmo,T
Fatal Frame,XB,1970,Action,Tecmo Koei,0.04,0.01,0.0,0.0,0.06,77.0,86.0,Tecmo,T
Fatal Frame II: Crimson Butterfly,PS2,1970,Action,Ubisoft,0.08,0.06,0.0,0.02,0.16,81.0,92.0,Tecmo,M
Fatal Frame II: Crimson Butterfly Director's Cut,XB,1970,Action,Microsoft Game Studios,0.04,0.01,0.0,0.0,0.05,84.0,83.0,Tecmo,M
Fatal Frame III: The Tormented,PS2,1970,Action,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08,78.0,89.0,Tecmo,M
Fatal Frame: Maiden of Black Water,WiiU,1970,Action,Nintendo,0.0,0.03,0.08,0.0,0.11,67.0,76.0,Koei Tecmo Games,M
Fatal Fury: Battle Archives Volume 1,PS2,1970,Fighting,Ignition Entertainment,0.02,0.01,0.0,0.0,0.04,68.0,83.0,SNK Playmore,T
Fatal Inertia,X360,1970,Racing,Tecmo Koei,0.12,0.0,0.0,0.01,0.13,61.0,42.0,Koei,E10+
Fate/Extra,PSP,1970,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.03,0.31,58.0,81.0,"Image Epoch, Imageepoch",T
Fear Effect 2: Retro Helix,PS,1970,Action,Eidos Interactive,0.1,0.07,0.0,0.01,0.18,84.0,89.0,Kronos Digital Entertainment,M
Fear Factor: Unleashed,GBA,1970,Action,Hip Interactive,0.1,0.04,0.0,0.0,0.14,30.0,30.0,DC Studios,T
Feel the Magic XY/XX,DS,1970,Puzzle,Sega,0.17,0.0,0.1,0.02,0.29,75.0,81.0,Sonic Team,T
Ferrari Challenge Trofeo Pirelli,PS3,1970,Racing,System 3 Arcade Software,0.0,0.03,0.0,0.01,0.04,71.0,62.0,Eutechnyx,E
Ferrari F355 Challenge,PS2,1970,Racing,Sony Computer Entertainment,0.03,0.02,0.0,0.01,0.05,70.0,44.0,Sega AM2,E
Field Commander,PSP,1970,Strategy,Sony Online Entertainment,0.14,0.0,0.0,0.01,0.16,77.0,78.0,"Sony Online Entertainment, Mind Control Software",T
FIFA 06: Road to FIFA World Cup,X360,1970,Sports,Electronic Arts,0.11,0.02,0.01,0.01,0.15,62.0,60.0,EA Canada,E
FIFA 14,PS3,1970,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,43.0,EA Canada,E
FIFA 14,X360,1970,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84.0,42.0,EA Canada,E
FIFA 14,PS4,1970,Sports,Electronic Arts,0.61,1.85,0.11,0.44,3.01,87.0,63.0,EA Canada,E
FIFA 14,XOne,1970,Sports,Electronic Arts,0.41,0.66,0.0,0.09,1.16,88.0,58.0,EA Canada,E
FIFA 14,PC,1970,Sports,Electronic Arts,0.01,0.36,0.0,0.03,0.4,87.0,46.0,EA Canada,E
FIFA 15,PS4,1970,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,57.0,EA Sports,E
FIFA 15,XOne,1970,Sports,Electronic Arts,0.6,1.42,0.0,0.16,2.18,82.0,54.0,EA Sports,E
FIFA 15,PC,1970,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,42.0,EA Sports,E
FIFA 16,PS4,1970,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,43.0,EA Sports,E
FIFA 16,XOne,1970,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25,84.0,44.0,EA Sports,E
FIFA 16,PC,1970,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2,81.0,44.0,EA Sports,E
FIFA 17,PS4,1970,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,50.0,"EA Sports, EA Vancouver",E
FIFA 17,XOne,1970,Sports,Electronic Arts,0.43,2.05,0.0,0.17,2.65,84.0,55.0,"EA Sports, EA Vancouver",E
FIFA 17,PC,1970,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12,84.0,42.0,"EA Sports, EA Vancouver",E
FIFA 2001 Major League Soccer,PS,1970,Sports,Electronic Arts,0.18,0.12,0.0,0.02,0.32,85.0,78.0,EA Sports,E
FIFA Manager 12,PC,1970,Sports,Electronic Arts,0.0,0.03,0.0,0.01,0.05,72.0,39.0,Bright Future GmbH,E
FIFA Soccer,PSV,1970,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,79.0,72.0,Electronic Arts,E
FIFA Soccer,PSP,1970,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12,73.0,77.0,EA Canada,E
FIFA Soccer 06,PS2,1970,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,78.0,EA Canada,E
FIFA Soccer 06,XB,1970,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,75.0,EA Canada,E
FIFA Soccer 06,PSP,1970,Sports,Electronic Arts,0.1,0.0,0.0,0.01,0.11,77.0,77.0,EA Sports,E
FIFA Soccer 08,PS2,1970,Sports,Electronic Arts,0.68,0.0,0.0,2.46,3.14,83.0,65.0,EA Canada,E
FIFA Soccer 08,PS3,1970,Sports,Electronic Arts,0.35,1.06,0.02,0.31,1.75,81.0,71.0,EA Canada,E
FIFA Soccer 08,PSP,1970,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35,79.0,74.0,EA Canada,E
FIFA Soccer 08,X360,1970,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,82.0,79.0,EA Canada,E
FIFA Soccer 08,Wii,1970,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,65.0,61.0,EA Canada,E
FIFA Soccer 08,PC,1970,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.02,77.0,61.0,EA Canada,E
FIFA Soccer 09,PS3,1970,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.58,87.0,75.0,EA Canada,E
FIFA Soccer 09,PS2,1970,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28,82.0,69.0,EA Canada,E
FIFA Soccer 09,X360,1970,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94,87.0,80.0,EA Canada,E
FIFA Soccer 09,PSP,1970,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,84.0,89.0,EA Canada,E
FIFA Soccer 09,DS,1970,Sports,Electronic Arts,0.12,0.31,0.0,0.06,0.49,84.0,61.0,EA Canada,E
FIFA Soccer 09,PC,1970,Sports,Electronic Arts,0.0,0.02,0.0,0.0,0.02,77.0,68.0,EA Canada,E
FIFA Soccer 09 All-Play,Wii,1970,Sports,Electronic Arts,0.28,0.51,0.0,0.09,0.89,80.0,84.0,EA Canada,E
FIFA Soccer 10,PS3,1970,Sports,Electronic Arts,0.6,2.45,0.05,0.52,3.62,91.0,76.0,EA Sports,E
FIFA Soccer 10,X360,1970,Sports,Electronic Arts,0.59,1.79,0.01,0.23,2.62,90.0,75.0,EA Sports,E
FIFA Soccer 10,PSP,1970,Sports,Electronic Arts,0.15,0.67,0.01,0.31,1.15,83.0,79.0,EA Sports,E
FIFA Soccer 10,Wii,1970,Sports,Electronic Arts,0.23,0.64,0.0,0.11,0.98,75.0,62.0,EA Sports,E
FIFA Soccer 10,PC,1970,Sports,Electronic Arts,0.0,0.04,0.0,0.01,0.05,72.0,38.0,EA Sports,E
FIFA Soccer 11,PS3,1970,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,80.0,EA Sports,E
FIFA Soccer 11,X360,1970,Sports,Electronic Arts,0.71,2.39,0.02,0.4,3.52,88.0,75.0,EA Sports,E
FIFA Soccer 11,PSP,1970,Sports,Electronic Arts,0.13,0.69,0.01,0.36,1.2,68.0,54.0,EA Sports,E
FIFA Soccer 11,Wii,1970,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.07,73.0,73.0,EA Sports,E
FIFA Soccer 11,PC,1970,Sports,Electronic Arts,0.0,0.14,0.0,0.04,0.18,83.0,77.0,EA Sports,E
FIFA Soccer 13,PS3,1970,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,66.0,Electronic Arts,E
FIFA Soccer 13,X360,1970,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,61.0,Electronic Arts,E
FIFA Soccer 13,WiiU,1970,Action,Electronic Arts,0.17,0.27,0.0,0.04,0.47,69.0,62.0,Electronic Arts,E
FIFA Soccer 13,PSV,1970,Action,Electronic Arts,0.0,0.28,0.05,0.11,0.44,57.0,41.0,Electronic Arts,E
FIFA Soccer 13,PC,1970,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.4,86.0,66.0,Electronic Arts,E
FIFA Soccer 13,3DS,1970,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29,68.0,37.0,Electronic Arts,E
FIFA Soccer 2002,PS2,1970,Sports,Electronic Arts,0.31,0.24,0.0,0.08,0.63,82.0,58.0,EA Sports,E
FIFA Soccer 2002,GC,1970,Sports,Electronic Arts,0.14,0.04,0.0,0.0,0.18,81.0,80.0,EA Sports,E
FIFA Soccer 2002,PS,1970,Sports,Electronic Arts,0.08,0.06,0.0,0.01,0.15,81.0,64.0,EA Sports,E
FIFA Soccer 2003,PS2,1970,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4,88.0,67.0,EA Canada,E
FIFA Soccer 2003,XB,1970,Sports,Electronic Arts,0.2,0.4,0.0,0.04,0.63,88.0,77.0,EA Canada,E
FIFA Soccer 2003,GC,1970,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08,86.0,78.0,EA Canada,E
FIFA Soccer 2004,XB,1970,Sports,Electronic Arts,0.24,0.49,0.0,0.05,0.79,82.0,82.0,EA Canada,E
FIFA Soccer 2004,GC,1970,Sports,Electronic Arts,0.05,0.01,0.0,0.0,0.07,83.0,62.0,EA Canada,E
FIFA Soccer 2004,GBA,1970,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05,82.0,79.0,Exient Entertainment,E
FIFA Soccer 2005,PS2,1970,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,81.0,76.0,EA Canada,E
FIFA Soccer 2005,XB,1970,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97,81.0,87.0,EA Canada,E
FIFA Soccer 2005,GC,1970,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14,78.0,85.0,EA Canada,E
FIFA Soccer 2005,GBA,1970,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08,75.0,78.0,EA Canada,E
FIFA Street,PS3,1970,Sports,Electronic Arts,0.12,0.89,0.0,0.23,1.23,76.0,64.0,EA Sports,E
FIFA Street,X360,1970,Sports,Electronic Arts,0.17,0.62,0.0,0.1,0.89,77.0,67.0,EA Sports,E
FIFA Street,PS2,1970,Sports,Electronic Arts,0.15,0.12,0.0,0.04,0.31,59.0,79.0,EA Canada,E
FIFA Street,XB,1970,Sports,Electronic Arts,0.08,0.02,0.0,0.0,0.1,60.0,80.0,EA Canada,E
FIFA Street 2,PS2,1970,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37,59.0,77.0,EA Canada,E
FIFA Street 2,PSP,1970,Sports,Electronic Arts,0.07,0.05,0.0,0.02,0.13,58.0,69.0,EA Canada,E
FIFA Street 2,GC,1970,Sports,Electronic Arts,0.09,0.02,0.0,0.0,0.11,63.0,57.0,EA Canada,E
FIFA Street 2,XB,1970,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08,63.0,71.0,EA Canada,E
FIFA Street 2,DS,1970,Sports,Electronic Arts,0.04,0.0,0.0,0.0,0.04,43.0,75.0,Exient Entertainment,E
FIFA Street 3,PS3,1970,Sports,Electronic Arts,0.08,0.18,0.0,0.06,0.32,63.0,69.0,EA Canada,E
FIFA Street 3,X360,1970,Sports,Electronic Arts,0.14,0.14,0.0,0.03,0.32,63.0,69.0,EA Canada,E
FIFA World Cup Germany 2006,PS2,1970,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,77.0,81.0,EA Canada,E
FIFA World Cup Germany 2006,X360,1970,Sports,Electronic Arts,0.19,0.27,0.01,0.0,0.48,72.0,66.0,EA Canada,E
FIFA World Cup Germany 2006,XB,1970,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.24,77.0,84.0,EA Canada,E
FIFA World Cup Germany 2006,GC,1970,Sports,Electronic Arts,0.1,0.03,0.0,0.0,0.13,76.0,62.0,EA Canada,E
FIFA World Cup Germany 2006,PSP,1970,Sports,Electronic Arts,0.1,0.0,0.0,0.01,0.11,72.0,73.0,EA Canada,E
FIFA World Cup Germany 2006,DS,1970,Sports,Electronic Arts,0.03,0.0,0.0,0.0,0.04,71.0,72.0,EA Canada,E
FIFA World Cup: Germany 2006,GBA,1970,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03,57.0,69.0,EA Canada,E
Fight Club,PS2,1970,Fighting,Vivendi Games,0.09,0.07,0.0,0.02,0.18,36.0,44.0,Genuine Games,M
Fight Club,XB,1970,Fighting,Vivendi Games,0.08,0.02,0.0,0.0,0.11,37.0,47.0,Genuine Games,M
Fight Night 2004,PS2,1970,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48,85.0,90.0,EA Sports,T
Fight Night 2004,XB,1970,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,87.0,EA Sports,T
Fight Night Champion,PS3,1970,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,1.11,84.0,73.0,EA Canada,M
Fight Night Champion,X360,1970,Fighting,Electronic Arts,0.4,0.31,0.0,0.07,0.78,86.0,74.0,EA Canada,M
Fight Night Round 2,PS2,1970,Fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87,88.0,90.0,EA Sports,T
