Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales (in millions),EU_Sales (in millions),JP_Sales (in millions),Other_Sales (in millions),Global_Sales (in millions),Critic_Score,User_Score,Developer,Rating
Assassin's Creed: Unity,PC,1970,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55,70.0,30.0,"Ubisoft, Ubisoft Montreal",M
Assetto Corsa,PS4,1970,Racing,505 Games,0.0,0.05,0.0,0.01,0.06,73.0,62.0,Kunos Simulazioni,E
Assetto Corsa,XOne,1970,Racing,505 Games,0.0,0.01,0.0,0.0,0.02,63.0,67.0,Kunos Simulazioni,E
Astonishia Story,PSP,1970,Role-Playing,Ubisoft,0.03,0.0,0.0,0.0,0.03,48.0,49.0,Sonnori,E10+
Astro Boy,PS2,1970,Action,Sega,0.04,0.03,0.0,0.01,0.09,54.0,69.0,Sonic Team,E
Astro Boy: Omega Factor,GBA,1970,Action,THQ,0.06,0.02,0.0,0.0,0.09,85.0,86.0,Hitmaker,E
Astro Boy: The Video Game,PS2,1970,Action,D3Publisher,0.05,0.04,0.0,0.01,0.11,56.0,50.0,High Voltage Software,E10+
Astro Boy: The Video Game,Wii,1970,Action,D3Publisher,0.1,0.0,0.0,0.01,0.11,48.0,35.0,High Voltage Software,E10+
Asura's Wrath,PS3,1970,Action,Capcom,0.18,0.12,0.06,0.05,0.4,71.0,74.0,CyberConnect2,T
Asura's Wrath,X360,1970,Action,Capcom,0.15,0.06,0.01,0.02,0.24,71.0,65.0,CyberConnect2,T
Atari Anthology,PS2,1970,Misc,Atari,0.33,0.01,0.0,0.05,0.4,66.0,43.0,Digital Eclipse,E
Atari Classics Evolved,PSP,1970,Misc,Atari,0.08,0.0,0.0,0.01,0.09,64.0,60.0,Stainless Games,E
Atelier Annie: Alchemists of Sera Island,DS,1970,Role-Playing,Gust,0.08,0.0,0.03,0.01,0.12,70.0,67.0,Gust,E10+
Atelier Ayesha: The Alchemist of Dusk,PS3,1970,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70.0,66.0,Gust,T
Atelier Iris 2: The Azoth Of Destiny,PS2,1970,Role-Playing,Tecmo Koei,0.03,0.02,0.0,0.01,0.06,68.0,78.0,Gust,E10+
Atelier Iris: Eternal Mana,PS2,1970,Role-Playing,Tecmo Koei,0.08,0.06,0.0,0.02,0.15,74.0,77.0,Gust,T
Atelier Shallie: Alchemists of the Dusk Sea,PS3,1970,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76.0,77.0,Gust,E10+
Atelier Totori: The Adventurer of Arland,PS3,1970,Role-Playing,Nippon Ichi Software,0.12,0.06,0.21,0.03,0.42,74.0,67.0,Gust,T
Athens 2004,PS2,1970,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.27,61.0,72.0,Eurocom Entertainment Software,E
Atomic Betty,GBA,1970,Puzzle,Atari,0.02,0.01,0.0,0.0,0.03,62.0,75.0,"Big Blue Bubble Inc., Breakthrough New Media",E
Attack of the Movies 3D,X360,1970,Shooter,Majesco Entertainment,0.04,0.0,0.0,0.0,0.04,38.0,17.0,Panic Button,T
Attack on Titan: Humanity in Chains,3DS,1970,Action,Screenlife,0.0,0.0,0.42,0.0,0.42,46.0,45.0,Spike Chunsoft,M
ATV Offroad Fury,PS2,1970,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,82.0,84.0,Rainbow Studios,E
ATV Offroad Fury 2,PS2,1970,Racing,THQ,1.92,0.2,0.0,0.06,2.18,82.0,89.0,Rainbow Studios,E
ATV Offroad Fury 3,PS2,1970,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,78.0,84.0,Climax Group,E
ATV Offroad Fury: Blazin' Trails,PSP,1970,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,63.0,78.0,Climax Group,E
ATV Quad Power Racing 2,GC,1970,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28,70.0,90.0,Climax Group,E
Auto Modellista,PS2,1970,Racing,Capcom,0.19,0.15,0.0,0.05,0.39,66.0,75.0,Capcom,E
Avalon Code,DS,1970,Role-Playing,Rising Star Games,0.11,0.0,0.12,0.01,0.24,71.0,74.0,"Matrix Software, Marvelous Entertainment",E10+
Avatar: The Last Airbender,GC,1970,Adventure,THQ,0.39,0.1,0.0,0.01,0.5,60.0,65.0,AWE Games,E10+
Avatar: The Last Airbender,DS,1970,Adventure,THQ,0.3,0.01,0.0,0.03,0.33,64.0,64.0,TOSE,E
Avatar: The Last Airbender,Wii,1970,Adventure,THQ,0.23,0.02,0.0,0.02,0.28,56.0,58.0,AWE Games,E10+
Avatar: The Last Airbender,PSP,1970,Adventure,THQ,0.1,0.0,0.0,0.01,0.11,57.0,63.0,TOSE,E10+
Azure Striker Gunvolt,3DS,1970,Action,Yacht Club Games,0.01,0.0,0.0,0.0,0.01,77.0,84.0,Inti Creates,E10+
